property_type,bed,bath,price,acre_lot,city,state,zip_code,house_size
residential,3,1,265000,0.68,Sparrow Bush,New York,12780,1352
residential,2,1,195000,0.06,Trenton,New Jersey,8648,514
residential,3,3,295000,0.03,Philadelphia,Pennsylvania,19138,1826
residential,3,2,210000,0.21,New Britain,Connecticut,6053,1374
residential,4,3,620000,0.15,Havertown,Pennsylvania,19083,2350
residential,3,1,300000,0.07,Warwick,Rhode Island,2889,1236
residential,5,4,689900,0.76,New Castle,Delaware,19720,4780
residential,10,4,680000,0.1,Newark,New Jersey,7106,4973
residential,2,2,200000,0.05,Philadelphia,Pennsylvania,19137,960
residential,4,2,269900,0.29,Browns Mills,New Jersey,8015,2036
residential,4,4,520000,0.6,Broomall,Pennsylvania,19008,2550
residential,3,2,179900,0.6,Keeseville,New York,12944,1754
residential,7,4,2400000,0.04,New York City,New York,11238,2700
residential,5,4,375000,0.22,Cabo Rojo,Puerto Rico,623,2700
residential,3,2,515000,3.28,Poughquag,New York,12570,2060
residential,1,1,1313760,0.49,New York City,New York,11201,792
residential,2,1,114000,0.02,Philadelphia,Pennsylvania,19134,896
residential,3,3,825000,0.12,Yonkers,New York,10705,2030
residential,2,1,240000,0.31,Bakersfield,Vermont,5441,3448
residential,1,1,61000,0.2,Bridgeton,New Jersey,8302,696
residential,6,2,294900,0.13,Chicopee,Massachusetts,1020,2288
residential,4,4,1350000,0.24,Staten Island,New York,10309,3550
residential,2,2,449000,0.52,Warwick,Rhode Island,2886,1654
residential,2,1,370000,0.87,Windham,New Hampshire,3087,1668
residential,3,3,879000,1.99,Biddeford,Maine,4005,2000
residential,3,3,349900,0.06,Philadelphia,Pennsylvania,19136,1592
residential,6,10,4500000,3.1,Ridgefield,Connecticut,6877,10180
residential,3,3,629900,3.5,Woodstock,Connecticut,6281,2952
residential,3,2,295000,5.19,Vernon,Connecticut,6066,2248
residential,5,2,135000,0.09,Morovis,Puerto Rico,687,1414
residential,3,2,333000,0.28,Wilmington,Delaware,19808,2047
residential,5,3,1100000,0.56,Quebradillas,Puerto Rico,678,3000
residential,3,2,275000,0.7,Lebanon,New Jersey,7882,1668
residential,3,2,389900,0.85,Southington,Connecticut,6489,1304
residential,4,4,795000,0.98,Columbus,New Jersey,8022,3614
residential,3,2,225000,0.13,Newington,Connecticut,6111,1064
residential,3,3,399900,4.14,New Milford,Connecticut,6776,2418
residential,8,3,674900,0.13,Haverhill,Massachusetts,1835,3409
residential,3,2,305000,0.04,Philadelphia,Pennsylvania,19114,1804
residential,4,3,699999,2.99,Leicester,Massachusetts,1542,4000
residential,3,1,399900,0.1,Rahway,New Jersey,7065,1008
residential,3,2,122000,0.09,Las Piedras,Puerto Rico,771,1170
residential,3,1,315000,0.07,East Providence,Rhode Island,2915,943
residential,3,4,949900,13.0,Ossining,New York,10562,3680
residential,2,1,115000,0.02,Philadelphia,Pennsylvania,19139,996
residential,4,3,649000,0.46,Spring Valley,New York,10977,2188
residential,4,2,299900,0.14,Pennsauken,New Jersey,8109,2010
residential,2,2,649900,0.27,Westerly,Rhode Island,2891,1292
residential,9,6,5950000,0.14,Nantucket,Massachusetts,2554,2881
residential,5,4,1995000,0.65,Madison,Connecticut,6443,3697
residential,2,1,439000,0.03,Huguenot,New York,10312,1008
residential,3,2,599900,0.18,Yonkers,New York,10710,1416
residential,3,1,449900,0.22,Neptune Township,New Jersey,7753,1265
residential,4,2,349900,0.21,Manahawkin,New Jersey,8050,1461
residential,3,2,449900,0.41,Longmeadow,Massachusetts,1106,1817
residential,4,4,879900,0.39,Toms River,New Jersey,8753,3864
residential,2,2,265000,0.9,Woodstock,Connecticut,6281,1300
residential,3,3,249900,0.08,Wilmington,Delaware,19802,1669
residential,3,2,199900,0.07,New Castle,Delaware,19720,1225
residential,2,2,384990,0.05,Coram,New York,11727,1186
residential,3,3,644900,3.75,Mattapoisett,Massachusetts,2739,2000
residential,3,4,355000,0.02,Philadelphia,Pennsylvania,19145,1920
residential,4,2,325000,0.18,Troy,New Hampshire,3465,2274
residential,3,4,430000,2.55,Monroeville,New Jersey,8343,2282
residential,4,4,929000,33.83,Mullica Hill,New Jersey,8062,3912
residential,4,3,329900,1.23,Tolland,Connecticut,6084,1400
residential,3,2,80000,0.04,Trenton,New Jersey,8611,1288
residential,3,3,819000,0.18,Lenox,Massachusetts,1240,2402
residential,3,2,350000,0.73,Lords Valley,Pennsylvania,18428,1856
residential,2,2,279900,0.24,Woonsocket,Rhode Island,2895,1216
residential,3,2,489000,38.75,Acworth,New Hampshire,3607,2850
residential,4,4,839900,2.13,Londonderry,New Hampshire,3053,4147
residential,3,1,234900,0.18,Winthrop,Maine,4364,1418
residential,3,1,309000,0.17,Bensalem,Pennsylvania,19020,1068
residential,2,1,157900,0.16,Southington,Connecticut,6489,800
residential,2,1,259999,0.06,Philadelphia,Pennsylvania,19111,1168
residential,3,1,169900,1.8,Granville,Vermont,5747,875
residential,3,2,439900,0.27,Danbury,Connecticut,6810,1816
residential,5,3,549900,0.1,Linden,New Jersey,7036,1998
residential,4,3,975000,2.96,North Andover,Massachusetts,1845,2951
residential,3,1,80000,0.02,Philadelphia,Pennsylvania,19131,972
residential,4,2,639900,0.18,Dedham,Massachusetts,2026,1638
residential,4,3,366990,0.3,Mays Landing,New Jersey,8330,1906
residential,4,3,299900,0.08,Philadelphia,Pennsylvania,19136,1161
residential,3,2,575000,0.57,Fairfield,Connecticut,6825,1568
residential,3,4,599000,1.1,Brewster,New York,10509,3351
residential,4,3,399000,1.08,Hartford,Vermont,5059,2606
residential,3,2,800000,0.26,West Long Branch,New Jersey,7764,1762
residential,3,1,160000,0.02,Philadelphia,Pennsylvania,19124,1261
residential,4,3,1375000,0.48,Winchester,Massachusetts,1890,2847
residential,3,2,260000,0.09,Gurabo,Puerto Rico,778,2100
residential,6,8,239900,4.44,Granville,New York,12832,5420
residential,3,2,949900,0.38,Andover,Massachusetts,1810,2230
residential,3,4,2870000,0.07,Nantucket,Massachusetts,2554,1944
residential,3,1,339000,0.46,Goshen,Connecticut,6756,1536
residential,3,2,264900,0.09,Providence,Rhode Island,2909,952
residential,4,3,535000,0.57,Leonardo,New Jersey,7737,2672
residential,3,2,665000,0.04,Bronx,New York,10465,1998
residential,2,1,64500,0.14,Stratford,Connecticut,6615,870
residential,4,3,725000,0.26,Edison,New Jersey,8820,2408
residential,3,2,325000,0.31,Stratford,Connecticut,6614,1661
residential,3,2,249900,0.23,Naugatuck,Connecticut,6770,1412
residential,4,2,3495000,1.32,Greenwich,Connecticut,6830,2540
residential,3,2,230000,0.02,Philadelphia,Pennsylvania,19143,1140
residential,4,3,899000,1.01,Montgomery Twp,New Jersey,8502,3162
residential,4,3,568000,0.34,Edison,New Jersey,8837,1506
residential,3,2,425000,3.71,Boscawen,New Hampshire,3303,1900
residential,2,2,269900,0.05,Philadelphia,Pennsylvania,19137,1524
residential,4,2,675000,0.74,Westford,Massachusetts,1886,1836
residential,4,3,525000,2.46,Southampton,New Jersey,8088,2404
residential,1,1,115000,0.07,Warwick,Rhode Island,2889,436
residential,8,7,3000000,0.28,Quincy,Massachusetts,2169,4738
residential,8,2,339000,1.0,Keene,New Hampshire,3431,3396
residential,3,2,345000,0.34,Laconia,New Hampshire,3246,1326
residential,3,1,168900,0.03,Philadelphia,Pennsylvania,19136,1200
residential,3,1,109000,0.03,Philadelphia,Pennsylvania,19142,960
residential,3,1,140000,0.03,Philadelphia,Pennsylvania,19140,1302
residential,4,2,320000,0.13,Manchester,New Hampshire,3102,3381
residential,3,3,579000,2.35,New Milford,Connecticut,6776,2978
residential,4,2,349900,0.15,Providence,Rhode Island,2904,1028
